Company,Rating,Reviews
DCB Bank,3.8,4k
Tata Communications,3.9,4k
HDFC Ergo General Insurance,4.0,4k
John Deere,4.0,4k
RBL Bank,3.5,4k
Cummins,4.3,3.9k
Publicis Sapient,3.3,3.9k
Bank of America,4.1,3.9k
Alembic Pharmaceuticals,3.9,3.9k
Pidilite Industries,4.2,3.9k
Oyo Rooms,3.0,3.9k
American Express,4.1,3.8k
Subros,3.8,3.8k
Aditya Birla Sun Life Insurance,4.0,3.8k
Reliance Communications,4.0,3.8k
Grasim Industries,4.0,3.8k
Carelon Global Solutions,3.9,4.1k
XpressBees,4.2,3.8k
Altruist Technologies,4.4,3.8k
Kyndryl,4.0,3.8k
ADP Private Limited,3.9,3.8k
PNB MetLife,3.4,3.8k
Viatris,4.1,3.8k
PVR INOX,3.9,3.8k
Aditya Birla Capital,3.8,3.8k
Escorts Kubota Limited,4.1,3.7k
Maersk,4.0,3.7k
Synechron,3.4,3.7k
KPIT Technologies,2.9,3.7k
Birlasoft,3.5,3.7k
JK Cement,4.0,3.7k
Glenmark Pharmaceuticals,3.8,3.7k
Dabur,3.8,3.7k
Sodexo,4.0,3.6k
Cloudnine Hospital,4.4,3.7k
Kotak Mahindra Life Insurance Company,3.5,3.6k
Bharat Electronics,4.2,3.6k
Godrej & Boyce Manufacturing,3.9,3.6k
Samvardhana Motherson Group,3.7,3.6k
Cogent E Services,3.1,3.6k
Abbott,4.1,3.6k
Ipca Laboratories,3.8,3.6k
Aarti Industries,4.1,3.6k
PhonePe,4.0,3.5k
Reliance Projects & Property Management Services,4.0,3.5k
Indian Oil Corporation,4.3,3.5k
Reliance Digital,4.1,3.5k
MRF Tyres,3.6,3.5k
Alkem Laboratories,3.9,3.5k
Johnson Controls,3.5,3.5k
IGT Solutions,3.2,3.5k
UNO Minda,4.0,3.5k
"NTT DATA, Inc.",3.9,3.5k
Honda Motorcycle & Scooter,4.1,3.5k
ArcelorMittal Nippon Steel,4.1,3.4k
Blinkit,3.8,3.4k
Vishal Mega Mart,3.8,3.4k
[24]7.ai,3.4,3.4k
Hindustan Coca Cola Beverages,4.0,3.4k
UBS,3.8,3.4k
DTDC Express,3.7,3.4k
IndusInd Nippon Life Insurance,3.4,3.4k
Bajaj General Insurance Limited,3.7,3.4k
ABB,4.0,3.4k
Ford Motor,4.2,3.4k
Barclays,3.7,3.3k
Ceat Tyres,3.9,3.3k
HARMAN,3.8,3.3k
RSPL Group,4.1,3.3k
AGS Health,4.0,3.3k
TVS Credit Services Ltd,4.2,3.3k
NatWest Group,4.0,3.3k
Croma,3.8,3.3k
InterGlobe Aviation,3.5,3.2k
Alstom Transportation,3.7,3.2k
Niva Bupa Health Insurance Company,4.0,3.2k
Conduent,3.4,3.2k
Indian Air Force,4.6,3.2k
GeBBS Healthcare Solutions,3.7,3.2k
Tata Technologies,3.4,3.2k
Tata AIG,4.0,3.2k
Allcargo Logistics,3.8,3.2k
UPL,4.1,3.2k
Max Healthcare,3.9,3.1k
Marpu Foundation,4.9,3.1k
PepsiCo,4.1,3.1k
Amazon Transportation Services,4.2,3.1k
Titan Company,4.2,3.1k
Dilip Buildcon,3.9,3.1k
Walmart,3.5,3.1k
Mankind Pharma,3.8,3.1k
Jindal Stainless,4.2,3.1k
Varroc Group,3.6,3.1k
S&P Global,4.0,3.1k
MSN Laboratories,3.6,3.1k
Societe Generale Global Solution Centre,3.6,3k
Sagility,3.9,3k
Quest Global,3.5,3k
Future Group,4.2,3k
Afcons Infrastructure,4.2,3k
Torrent Pharmaceuticals,4.0,3k
IDFC FIRST Bharat,4.2,3k
Square Yards,3.6,3k
Ola Electric Mobility,3.3,3k
ESAF Small Finance Bank,3.6,3k
HDFC Sales,3.9,3k
CMS IT Services,3.1,3k
Zensar Technologies,3.7,3k
I Process Services,3.8,2.9k
ACC,3.9,2.9k
DS Group,4.1,2.9k
Suzlon Group,4.0,2.9k
Tata Elxsi,3.5,2.9k
Eternal Limited,3.6,2.9k
Bharat Financial Inclusion,3.7,2.9k
VVDN Technologies,3.6,2.9k
Fujitsu,3.8,2.9k
Indus Towers,3.6,2.9k
Shoppers Stop,4.0,2.9k
Nokia,4.0,2.9k
Apollo Tyres,4.0,2.9k
Yazaki,3.9,2.9k
IKS Health,3.6,2.9k
Shree Cement,3.8,2.8k
Fiserv,2.9,2.8k
Britannia,4.0,2.8k
UnitedHealth,4.0,2.8k
Zepto,3.5,2.8k
Landmark Group,3.8,2.8k
SRF,4.1,2.8k
Tata Electronics,3.9,2.8k
Dalmia Bharat Cement,3.9,2.8k
Kansai Nerolac Paints,3.8,2.7k
Blue Dart Express Ltd,3.9,2.7k
Exide Industries,3.4,2.7k
Nestlé,3.8,2.7k
Shell,3.9,2.7k
Whitehat jr,3.3,2.7k
KPMG Global Services,3.5,2.7k
